name,vid,start,end,side,player,type
0001,V007,14675,14695,Left,Far,Topspin
0002,V007,15156,15173,Right,Far,Flat
0003,V007,16302,16324,Right,Far,Slice
0004,V007,16326,16358,Left,Far,Topspin
0005,V007,16920,16935,Right,Far,Topspin
0006,V007,16938,16969,Right,Far,Topspin
0007,V007,18194,18217,Right,Near,Slice
0008,V007,18621,18643,Right,Near,Slice
0009,V007,18873,18895,Right,Near,Topspin
0010,V007,18899,18925,Right,Near,Topspin
0011,V007,18928,18953,Right,Near,Topspin
0012,V007,18956,18991,Right,Near,Topspin
0013,V007,18994,19024,Left,Near,Topspin
0014,V007,19691,19707,Right,Near,Topspin
0015,V007,19710,19734,Right,Near,Topspin
0016,V007,19736,19769,Left,Near,Topspin
0017,V007,19771,19799,Right,Near,Topspin
0018,V007,20626,20649,Right,Near,Topspin
0019,V007,20652,20687,Right,Near,Topspin
0020,V007,20690,20722,Left,Near,Unsure
0021,V007,22153,22173,Right,Near,Topspin
0022,V007,22177,22209,Right,Near,Topspin
0023,V007,22818,22831,Right,Near,Topspin
0024,V007,22833,22855,Right,Near,Unsure
0025,V007,23612,23635,Right,Near,Topspin
0026,V007,23639,23674,Right,Near,Topspin
0027,V007,24524,24545,Left,Near,Topspin
0028,V007,24547,24588,Left,Near,Topspin
0029,V007,24590,24614,Left,Near,Topspin
0030,V007,24617,24648,Right,Near,Topspin
0031,V007,24651,24681,Right,Near,Topspin
0032,V007,24683,24716,Left,Near,Topspin
0033,V007,26026,26046,Left,Near,Slice
0034,V007,26285,26306,Right,Near,Unsure
0035,V007,26310,26349,Left,Near,Topspin
0036,V007,26353,26377,Right,Near,Topspin
0037,V007,26382,26413,Right,Near,Slice
0038,V007,26416,26450,Left,Near,Slice
0039,V007,26452,26477,Left,Near,Topspin
0040,V007,27164,27186,Left,Near,Slice
0041,V007,27193,27231,Left,Near,Topspin
0042,V007,28397,28418,Left,Near,Slice
0043,V007,28421,28455,Right,Near,Topspin
0044,V007,28457,28487,Left,Near,Slice
0045,V007,28490,28528,Left,Near,Topspin
0046,V007,28530,28559,Right,Near,Topspin
0047,V007,28562,28591,Right,Near,Topspin
0048,V007,29443,29464,Left,Near,Topspin
0049,V007,29468,29499,Right,Near,Topspin
0050,V007,29501,29533,Right,Near,Unsure
0051,V007,30166,30189,Left,Near,Slice
0052,V007,30192,30219,Left,Near,Topspin
0053,V007,30224,30255,Right,Near,Unsure
0054,V007,30830,30853,Right,Near,Flat
0055,V007,34120,34142,Right,Far,Flat
