pid,vid,set,caption
P00000001,V006.mp4_25740_25984.avi.npy,train,high kick serve fp returns a ls return short rally fp cross-court rs lands out-side the court
P00000002,V006.mp4_26498_26628.avi.npy,train,np a good serve fp is unable to return it
P00000003,V006.mp4_27071_27200.avi.npy,train,np aims a fine serve at t fp is unable to return it
P00000004,V006.mp4_27954_28053.avi.npy,train,np aims a fine serve at t fp has no answer to it
P00000005,V006.mp4_29700_29831.avi.npy,train,double fault
P00000006,V006.mp4_30675_30903.avi.npy,train,fine serve fp delivers a rs return brief rally np sends a rs cross-court out of the court
P00000007,V006.mp4_31828_31995.avi.npy,train,np aims a bodyline serve fp works a rs return np struggles to keep a cross-court ls in a rally
P00000008,V006.mp4_32622_32841.avi.npy,train,np serves a good one fp puts back a ls return good rally fp hits a ls winner down the line
P00000009,V006.mp4_33683_33870.avi.npy,train,good serve in the middle np crafts a ls return fp cross-court ls fails to land inside the court
P00000010,V006.mp4_34766_35239.avi.npy,train,fp serves wide np works a ls return brief rally fp cross-court rs fails to land inside the court
P00000011,V006.mp4_36031_36214.avi.npy,train,fp hits a good serve np struggles with it before hitting a ls into the net
P00000012,V006.mp4_36758_36841.avi.npy,train,quick serve is an ace
P00000013,V006.mp4_37506_37976.avi.npy,train,good serve wide np returns a quick rs return short rally np hits a ls long and out of court
P00000014,V006.mp4_38754_38859.avi.npy,train,quick serve out wide is an ace
P00000015,V006.mp4_41356_41633.avi.npy,train,serve aimed in the corner np returns a rs return short rally np comes in quickly and smashes a rs winner
P00000016,V006.mp4_42242_42328.avi.npy,train,good serve aimed at t it's an ace
P00000017,V006.mp4_43172_43473.avi.npy,train,quick serve np returns a quick ls return couple of shots exchanged fp sprays a ls outside the court
P00000018,V006.mp4_44081_44294.avi.npy,train,good serve aimed at t np only reaches to it short rally np cross-court fails to clear the net in the middle
P00000019,V006.mp4_44863_45095.avi.npy,train,heavy serve out wide np returns a quick rs return short rally fp strokes a rs cross-court winner which clips the net
P00000020,V006.mp4_46286_46416.avi.npy,train,second serve doesn't make it over the net double fault
